nombre,imagen,link,descripcion
Programador Jr. de aplicaciones ASP.NET MVC: Manual de estudiante,img/tienda/mvc-munoz.jpg,https://amzn.to/2Z3UO3w,Programador Jr. de aplicaciones ASP.NET MVC: Manual de estudiante
Building Single Page Application Using ASP.NET Core & Angular,img/tienda/libro-angular.jpg,https://amzn.to/3jHKHcp,Construye aplicaciones de una sola pagina con Angular y ASP.NET Core
ASP.NET Core in Action,img/tienda/libro-core-action.jpg,https://amzn.to/3lW4VBt,ASP.NET Core in Action is for C# developers without any web development experience who want to get started and productive fast using ASP.NET Core 2.0 to build web applications.
Entity Framework Core in Action,/img/tienda/efcoreaction.jpg,https://amzn.to/2QOQRv0,Entity Framework Core in Action teaches you how to access and update relational data from .NET applications
